date,temperature,humidity
2019-06-25 09:37:46,28.47,34.86
2019-06-25 09:39:11,28.97,34.22
2019-06-25 09:40:03,27.28,34.39
2019-06-25 09:41:03,28.13,34.46
2019-06-25 09:42:03,28.5,34.45
2019-06-25 09:43:04,27.27,34.79
2019-06-25 09:44:04,27.6,34.66
2019-06-25 09:45:04,26.67,34.66
2019-06-25 09:46:03,28.07,34.29
2019-06-25 09:47:03,28.67,34.53
2019-06-25 09:48:04,27.72,34.39
2019-06-25 09:49:03,28.37,33.55
2019-06-25 09:50:03,26.83,34.54
2019-06-25 09:51:03,27.38,34.53
2019-06-25 09:52:04,27.78,34.64
2019-06-25 09:53:03,27.9,33.44
2019-06-25 09:54:03,28.58,34.13
2019-06-25 09:54:16,28.25,33.79
2019-06-25 09:54:54,27.92,33.39
2019-06-25 09:55:04,27.1,33.41
2019-06-25 09:55:17,26.72,33.72
2019-06-25 09:56:04,28.07,33.91
2019-06-25 09:56:14,28.28,33.84
2019-06-25 09:56:46,27.82,33.24
2019-06-25 09:57:03,27.77,33.4
2019-06-25 09:57:31,28.63,33.01
2019-06-25 09:58:03,28.33,33.09
2019-06-25 09:59:03,28.45,33.06
2019-06-25 10:00:04,25.75,33.83
2019-06-25 10:02:05,26.67,32.79
2019-06-25 10:03:04,27.62,33.84
2019-06-25 10:04:04,26.83,33.73
2019-06-25 10:05:12,25.83,33.51
2019-06-25 10:06:03,26.97,33.46
2019-06-25 10:07:03,28.12,33.55
2019-06-25 10:08:04,28.27,32.31
2019-06-25 10:09:04,27.5,33.03
2019-06-25 10:10:04,27.42,32.54
2019-06-25 10:11:04,28.3,32.71
2019-06-25 10:12:04,29.75,32.16
2019-06-25 10:13:03,28.47,32.67
2019-06-25 10:14:03,28.38,32.7
2019-06-25 10:15:04,27.72,32.65
2019-06-25 10:16:04,28.03,33.03
2019-06-25 10:17:03,28.85,31.93
2019-06-25 10:18:03,28.5,33.08
2019-06-25 10:19:04,28.5,32.58
2019-06-25 10:20:04,27.35,32.63
2019-06-25 10:21:03,28.72,32.32
2019-06-25 10:22:03,28.88,31.96
2019-06-25 10:23:04,28.27,32.47
2019-06-25 10:24:03,27.65,32.61
2019-06-25 10:25:03,26.83,32.39
2019-06-25 10:26:03,28.27,31.87
2019-06-25 10:27:04,28.73,31.79
2019-06-25 10:28:03,28.78,32.0
2019-06-25 10:29:03,28.02,31.84
2019-06-25 10:30:08,26.22,31.7
2019-06-25 10:31:03,27.52,31.98
2019-06-25 10:32:04,28.28,31.3
2019-06-25 10:33:03,28.15,31.77
2019-06-25 10:34:11,28.18,31.17
2019-06-25 10:35:04,27.78,31.27
2019-06-25 10:36:03,28.12,31.25
2019-06-25 10:37:04,28.55,31.09
2019-06-25 11:08:36,28.38,31.36
